,Category,Code,,Case,Text,Coder,Date,Words,% Words,Comment,Variable
,eventos meteorológicos,tormenta,, Advertencia sobre _tormentas fuertes_103256,"?Advertencia sobre ""tormentas fuertes""",Admin,22/5/2020,4,"1,30%",,DOCUMENT
,eventos meteorológicos,tormenta,, Consecuencias de la fuerte tormenta en Montevideo,?Consecuencias de la fuerte tormenta en,Admin,22/5/2020,6,"2,10%",,DOCUMENT
,efectos,evacuados,, Durazno y Soriano comprometidos por inundaciones,?Durazno y Soriano comprometidos por inundacione,Admin,22/5/2020,6,"1,70%",,DOCUMENT
,efectos,inundación,, Durazno y Soriano comprometidos por inundaciones,?Durazno y Soriano comprometidos por inundaciones,Admin,22/5/2020,6,"1,70%",,DOCUMENT
,eventos meteorológicos,lluvia,, Durazno y Soriano comprometidos por inundaciones,?Durazno y Soriano comprometidos por inundaciones,Admin,22/5/2020,6,"1,70%",,DOCUMENT
,eventos meteorológicos,lluvia,, Evacuados por rápida crecida del Santa Lucía,?Evacuados por rápida crecida del Santa Lucí,Admin,22/5/2020,7,"2,20%",,DOCUMENT
,efectos,evacuados,, Evacuados por rápida crecida del Santa Lucía,?Evacuados por rápida crecida del Santa Lucía,Admin,22/5/2020,7,"2,20%",,DOCUMENT
,efectos,inundación,, Evacuados por rápida crecida del Santa Lucía,?Evacuados por rápida crecida del Santa Lucía,Admin,22/5/2020,7,"2,20%",,DOCUMENT
,eventos meteorológicos,tormenta,, Evacuados por rápida crecida del Santa Lucía,Advertencias naranja y amarilla para buena parte del país por tormentas fuertes,Admin,22/5/2020,12,"3,70%",,DOCUMENT
,respuestas,ayuda damnificados,, Evacuados regresan a sus hogares,?Evacuados regresan a sus hogare,Admin,22/5/2020,5,"1,60%",,DOCUMENT
,efectos,evacuados,, Evacuados regresan a sus hogares,?Evacuados regresan a sus hogares,Admin,22/5/2020,5,"1,60%",,DOCUMENT
,efectos,inundación,, Evacuados regresan a sus hogares,?Evacuados regresan a sus hogares,Admin,22/5/2020,5,"1,60%",,DOCUMENT
,respuestas,ayuda damnificados,, Evacuados regresan a sus hogares_102629,?Evacuados regresan a sus hogare,Admin,22/5/2020,5,"1,60%",,DOCUMENT
,efectos,evacuados,, Evacuados regresan a sus hogares_102629,?Evacuados regresan a sus hogares,Admin,22/5/2020,5,"1,60%",,DOCUMENT
,efectos,inundación,, Evacuados regresan a sus hogares_102629,?Evacuados regresan a sus hogares,Admin,22/5/2020,5,"1,60%",,DOCUMENT
,eventos meteorológicos,lluvia,, Fin de semana con precipitaciones y tormentas_110308,?Fin de semana con precipitaciones y tormentas,Admin,22/5/2020,7,"2,20%",,DOCUMENT
,eventos meteorológicos,tormenta,, Fin de semana con precipitaciones y tormentas_110308,?Fin de semana con precipitaciones y tormentas,Admin,22/5/2020,7,"2,20%",,DOCUMENT
,efectos,evacuados,, Hay 5617 evacuados en todo el país,?Hay 5617 evacuados en todo el paí,Admin,22/5/2020,7,"2,10%",,DOCUMENT
,efectos,inundación,, Hay 5617 evacuados en todo el país,?Hay 5617 evacuados en todo el país,Admin,22/5/2020,7,"2,10%",,DOCUMENT
,eventos meteorológicos,lluvia,, Hay 5617 evacuados en todo el país,?Hay 5617 evacuados en todo el país,Admin,22/5/2020,7,"2,10%",,DOCUMENT
,efectos,inundación,, Hay 7351 evacuados,?Hay 7351 evacuado,Admin,22/5/2020,3,"1,00%",,DOCUMENT
,efectos,evacuados,, Hay 7351 evacuados,?Hay 7351 evacuados,Admin,22/5/2020,3,"1,00%",,DOCUMENT
,eventos meteorológicos,lluvia,, Hay 7351 evacuados,?Hay 7351 evacuados,Admin,22/5/2020,3,"1,00%",,DOCUMENT
,eventos meteorológicos,lluvia,, Hay casi 4000 evacuados en todo el país,?Hay casi 4000 evacuados en todo el paí,Admin,22/5/2020,8,"2,40%",,DOCUMENT
,efectos,evacuados,, Hay casi 4000 evacuados en todo el país,?Hay casi 4000 evacuados en todo el país,Admin,22/5/2020,8,"2,40%",,DOCUMENT
,efectos,inundación,, Hay casi 4000 evacuados en todo el país,?Hay casi 4000 evacuados en todo el país,Admin,22/5/2020,8,"2,40%",,DOCUMENT
,eventos meteorológicos,lluvia,, Intendencias alerta por lluvias,?Intendencias alerta por lluvias,Admin,22/5/2020,4,"1,40%",,DOCUMENT
,eventos meteorológicos,lluvia,, Lluvias complican panorama en el litoral,?Lluvias complican panorama en el litoral,Admin,22/5/2020,6,"2,10%",,DOCUMENT
,eventos meteorológicos,lluvia,, Lluvias intensan en el país_100236,?Lluvias intensan en el país,Admin,22/5/2020,5,"1,60%",,DOCUMENT
,eventos meteorológicos,lluvia,, Meteorología_ fin de semana con lluvias y tormentas,?Meteorología: fin de semana con lluvias y tormentas,Admin,22/5/2020,8,"2,30%",,DOCUMENT
,eventos meteorológicos,tormenta,, Meteorología_ fin de semana con lluvias y tormentas,?Meteorología: fin de semana con lluvias y tormentas,Admin,22/5/2020,8,"2,30%",,DOCUMENT
,eventos meteorológicos,lluvia,, Meteorología_ fin de semana con lluvias y tormentas,?Meteorología: fin de semana con lluvias y tormentas,Admin,22/5/2020,8,"2,30%",,DOCUMENT
,efectos,inundación,, Soriano en alerta por inundaciones,?Soriano en alerta por inundaciones,Admin,22/5/2020,5,"1,70%",,DOCUMENT
,eventos meteorológicos,lluvia,, Soriano en alerta por inundaciones,?Soriano en alerta por inundaciones,Admin,22/5/2020,5,"1,70%",,DOCUMENT
,eventos meteorológicos,lluvia,, Tendremos lluvias hasta el martes,?Tendremos lluvias hasta el martes,Admin,22/5/2020,5,"1,60%",,DOCUMENT